accession	family	feature_id	feature_name	model	phenotype_class	analysis_role	exposure_n	cohort	ldsc_h2	ldsc_h2_se	ldsc_h2_z	source_gwas_path
GCST90670546	species	GCF_018784445.1	Gemmiger sp900540775	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670546/GCST90670546.h.tsv.gz
GCST90666919	species	hMGS.02733	Gordonibacter pamelaeae	continuous relative abundance	abundance	primary	12652	HUNT	0.0453	0.0355	1.27605633802817	data/raw/gwas/microbiome_hunt/GCST90666919/GCST90666919.h.tsv.gz
GCST90671072	species	GCA_900761905.1	HGM14224 sp900761905	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671072/GCST90671072.h.tsv.gz
GCST90670990	species	GCA_004340125.1	Harryflintia acetispora	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670990/GCST90670990.h.tsv.gz
GCST90667057	species	hMGS.07107	Instestinimonas A gabonensis	continuous relative abundance	abundance	primary	12652	HUNT	0.0093	0.0355	0.261971830985916	data/raw/gwas/microbiome_hunt/GCST90667057/GCST90667057.h.tsv.gz
GCST90671259	species	GCA_019421015.1	JAHZGC01 sp019421015	Linear	abundance	primary	16017	Swedish	-0.0145	0.0256	-0.56640625	data/raw/gwas/microbiome_swedish/GCST90671259/GCST90671259.h.tsv.gz
GCST90671193	species	GCA_019114465.1	Lachnoclostridium A avicola	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671193/GCST90671193.h.tsv.gz
GCST90671075	species	GCF_000765215.1	Lachnoclostridium B sp000765215	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671075/GCST90671075.h.tsv.gz
GCST90671115	species		Lawsonibacter hMGS.05443	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671115/GCST90671115.h.tsv.gz
GCST90670813	species	GCA_902362775.1	Lawsonibacter sp900066645	Linear	abundance	primary	16017	Swedish	0.0015	0.0289	0.0519031141868512	data/raw/gwas/microbiome_swedish/GCST90670813/GCST90670813.h.tsv.gz
GCST90671218	species	GCA_900543485.1	Lentihominibacter excrementipullorum	Linear	abundance	primary	16017	Swedish	0.0317	0.0268	1.18283582089552	data/raw/gwas/microbiome_swedish/GCST90671218/GCST90671218.h.tsv.gz
GCST90671214	species	GCA_902362435.1	Lentihominibacter sp900066305	Linear	abundance	primary	16017	Swedish	3e-04	0.0276	0.0108695652173913	data/raw/gwas/microbiome_swedish/GCST90671214/GCST90671214.h.tsv.gz
GCST90671285	species	GCA_905193765.1	Lentihominibacter sp905193765	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671285/GCST90671285.h.tsv.gz
GCST90670555	species	GCA_900540045.1	Limiplasma merdipullorum	Linear	abundance	primary	16017	Swedish	0.0308	0.0315	0.977777777777778	data/raw/gwas/microbiome_swedish/GCST90670555/GCST90670555.h.tsv.gz
GCST90670796	species	GCF_004341945.1	Longicatena caecimuris	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670796/GCST90670796.h.tsv.gz
GCST90671237	species	GCA_900169975.1	Marseille-P3106 sp900169975	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671237/GCST90671237.h.tsv.gz
GCST90671001	species	GCA_003435055.1	Marvinbryantia sp900066075	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671001/GCST90671001.h.tsv.gz
GCST90670838	species	GCF_900199515.1	Massilicoli timonensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670838/GCST90670838.h.tsv.gz
GCST90666614	species	hMGS.00099	Mediterraneibacter faecis	continuous relative abundance	abundance	primary	12652	HUNT	0.0426	0.0347	1.22766570605187	data/raw/gwas/microbiome_hunt/GCST90666614/GCST90666614.h.tsv.gz
GCST90666624	species	hMGS.00124	Mediterraneibacter lactaris	continuous relative abundance	abundance	primary	12652	HUNT	0.028	0.031	0.903225806451613	data/raw/gwas/microbiome_hunt/GCST90666624/GCST90666624.h.tsv.gz
GCST90670827	species	GCF_001754075.1	Merdimonas faecis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670827/GCST90670827.h.tsv.gz
GCST90670698	species	GCA_900547455.1	Negativibacillus faecipullorum	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670698/GCST90670698.h.tsv.gz
GCST90670550	species	GCA_000435195.1	Negativibacillus sp000435195	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish/GCST90670550/GCST90670550.h.tsv.gz
GCST90666750	species	hMGS.00595	Onthomonas sp900545815	continuous relative abundance	abundance	primary	12652	HUNT	0.0238	0.0325	0.732307692307692	data/raw/gwas/microbiome_hunt/GCST90666750/GCST90666750.h.tsv.gz
GCST90670784	species	GCF_014202695.1	Oribacterium sinus	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670784/GCST90670784.h.tsv.gz
GCST90667067	species	hMGS.07334	Paralachnospira dongpingensis	continuous relative abundance	abundance	primary	12652	HUNT	0.0601	0.0422	1.42417061611374	data/raw/gwas/microbiome_hunt/GCST90667067/GCST90667067.h.tsv.gz
GCST90667054	species	hMGS.07052	Pararuminococcus gallinarum	continuous relative abundance	abundance	primary	12652	HUNT	0.0437	0.0341	1.28152492668622	data/raw/gwas/microbiome_hunt/GCST90667054/GCST90667054.h.tsv.gz
GCST90670457	species	GCF_000205025.1	Parasutterella excrementihominis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670457/GCST90670457.h.tsv.gz
GCST90670943	species	GCF_900128465.1	Pauljensenia bouchesdurhonensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670943/GCST90670943.h.tsv.gz
GCST90671190	species	GCA_019425105.1	Pauljensenia sp019425105	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671190/GCST90671190.h.tsv.gz
GCST90670427	species	GCF_003269275.1	Phascolarctobacterium faecium	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670427/GCST90670427.h.tsv.gz
GCST90671012	species	GCF_900104615.1	Phocea massiliensis	Linear	abundance	primary	16017	Swedish	0.0208	0.0341	0.609970674486804	data/raw/gwas/microbiome_swedish/GCST90671012/GCST90671012.h.tsv.gz
GCST90670890	species	GCA_003477405.1	Pseudobutyricicoccus sp003477405	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670890/GCST90670890.h.tsv.gz
GCST90671138	species	GCF_900291955.1	Pseudoruminococcus massiliensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671138/GCST90671138.h.tsv.gz
GCST90666747	species	hMGS.00582	QAMH01 sp900544245	continuous relative abundance	abundance	primary	12652	HUNT	0.0115	0.0334	0.344311377245509	data/raw/gwas/microbiome_hunt/GCST90666747/GCST90666747.h.tsv.gz
GCST90671093	species	GCA_003150405.1	QAMM01 sp003150405	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671093/GCST90671093.h.tsv.gz
GCST90666975	species	hMGS.04318	QAMM01 sp902766785	continuous relative abundance	abundance	primary	12652	HUNT	0.0097	0.0317	0.305993690851735	data/raw/gwas/microbiome_hunt/GCST90666975/GCST90666975.h.tsv.gz
GCST90666976	species	hMGS.04320	QANA01 sp900554725	continuous relative abundance	abundance	primary	12652	HUNT	0.0348	0.0327	1.06422018348624	data/raw/gwas/microbiome_hunt/GCST90666976/GCST90666976.h.tsv.gz
GCST90670387	species	GCA_025150425.1	Ruminiclostridium E siraeum	Linear	abundance	primary	16017	Swedish	0.0455	0.0303	1.5016501650165	data/raw/gwas/microbiome_swedish/GCST90670387/GCST90670387.h.tsv.gz
GCST90666987	species	hMGS.05315	Ruminococcaceae hMGS.05315	continuous relative abundance	abundance	primary	12652	HUNT	0.0244	0.0321	0.7601246105919	data/raw/gwas/microbiome_hunt/GCST90666987/GCST90666987.h.tsv.gz
GCST90671111	species		Ruminococcaceae hMGS.05315	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671111/GCST90671111.h.tsv.gz
GCST90670400	species	GCF_008121495.1	Ruminococcus B gnavus	Linear	abundance	primary	16017	Swedish	0.0252	0.0279	0.903225806451613	data/raw/gwas/microbiome_swedish/GCST90670400/GCST90670400.h.tsv.gz
GCST90666547	species	hMGS.00005	Ruminococcus E bromii B	continuous relative abundance	abundance	primary	12652	HUNT	-0.0203	0.0366	-0.554644808743169	data/raw/gwas/microbiome_hunt/GCST90666547/GCST90666547.h.tsv.gz
GCST90666607	species	hMGS.00089	Ruthenibacterium lactatiformans	continuous relative abundance	abundance	primary	12652	HUNT	0.0215	0.0537	0.400372439478585	data/raw/gwas/microbiome_hunt/GCST90666607/GCST90666607.h.tsv.gz
GCST90670407	species	GCA_004557245.1	SFEL01 sp004557245	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670407/GCST90670407.h.tsv.gz
GCST90670815	species	GCA_900551915.1	Scatenecus faecavium	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670815/GCST90670815.h.tsv.gz
GCST90666667	species	hMGS.00238	Scatocola faecipullorum	continuous relative abundance	abundance	primary	12652	HUNT	-0.0177	0.0347	-0.510086455331412	data/raw/gwas/microbiome_hunt/GCST90666667/GCST90666667.h.tsv.gz
GCST90670908	species	GCA_900759385.1	Scatomorpha sp900759385	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670908/GCST90670908.h.tsv.gz
GCST90666779	species	hMGS.00774	Schaedlerella glycyrrhizinilytica A	continuous relative abundance	abundance	primary	12652	HUNT	0.0435	0.0489	0.889570552147239	data/raw/gwas/microbiome_hunt/GCST90666779/GCST90666779.h.tsv.gz
GCST90670700	species	GCF_015560805.1	Schaedlerella glycyrrhizinilytica A	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670700/GCST90670700.h.tsv.gz
GCST90670680	species	GCA_904393115.1	Spyradocola merdavium	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670680/GCST90670680.h.tsv.gz
GCST90666838	species	hMGS.01277	Streptococcus gordonii	continuous relative abundance	abundance	primary	12652	HUNT	0.0369	0.0361	1.02216066481994	data/raw/gwas/microbiome_hunt/GCST90666838/GCST90666838.h.tsv.gz
GCST90670495	species	GCF_010120595.1	Streptococcus thermophilus	Linear	abundance	primary	16017	Swedish	0.0058	0.0288	0.201388888888889	data/raw/gwas/microbiome_swedish/GCST90670495/GCST90670495.h.tsv.gz
GCST90671188	species	GCA_000508865.1	Thomasclavelia sp000508865	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671188/GCST90671188.h.tsv.gz
GCST90670761	species	GCA_900552925.1	UBA1417 sp900552925	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670761/GCST90670761.h.tsv.gz
GCST90670586	species	GCA_900547165.1	UBA644 sp900547165	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670586/GCST90670586.h.tsv.gz
GCST90670564	species	GCA_003522945.1	UBA738 sp003522945	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670564/GCST90670564.h.tsv.gz
GCST90670687	species	GCA_900542375.1	UMGS1071 sp900542375	Linear	abundance	primary	16017	Swedish	-0.0392	0.0267	-1.46816479400749	data/raw/gwas/microbiome_swedish/GCST90670687/GCST90670687.h.tsv.gz
GCST90667020	species	hMGS.06036	UMGS1623 sp934647945	continuous relative abundance	abundance	primary	12652	HUNT	0.0298	0.0357	0.834733893557423	data/raw/gwas/microbiome_hunt/GCST90667020/GCST90667020.h.tsv.gz
GCST90671102	species	GCA_900757905.1	UMGS882 sp900757905	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671102/GCST90671102.h.tsv.gz
GCST90671209	species	GCA_934479825.1	UMGS882 sp934479825	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671209/GCST90671209.h.tsv.gz
GCST90670786	species	GCA_900760345.1	V9D3004 sp900760345	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670786/GCST90670786.h.tsv.gz
GCST90666665	species	hMGS.00232	Ventricola sp900542395	continuous relative abundance	abundance	primary	12652	HUNT	0.0529	0.0328	1.61280487804878	data/raw/gwas/microbiome_hunt/GCST90666665/GCST90666665.h.tsv.gz
GCST90670517	species	GCA_900542395.1	Ventricola sp900542395	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670517/GCST90670517.h.tsv.gz
GCST90666944	species	hMGS.03238	Ventricola sp900548125	continuous relative abundance	abundance	primary	12652	HUNT	0.0383	0.0362	1.05801104972376	data/raw/gwas/microbiome_hunt/GCST90666944/GCST90666944.h.tsv.gz
GCST90666770	species	hMGS.00733	Ventrimonas sp003480315	continuous relative abundance	abundance	primary	12652	HUNT	-0.0079	0.0342	-0.230994152046784	data/raw/gwas/microbiome_hunt/GCST90666770/GCST90666770.h.tsv.gz
GCST90667018	species	hMGS.05958	Vescimonas fastidiosa	continuous relative abundance	abundance	primary	12652	HUNT	0.0343	0.0337	1.01780415430267	data/raw/gwas/microbiome_hunt/GCST90667018/GCST90667018.h.tsv.gz
GCST90671164	species	GCF_018326305.1	Vescimonas fastidiosa	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671164/GCST90671164.h.tsv.gz
GCST90666993	species	hMGS.05754	Wujia chipingensis	continuous relative abundance	abundance	primary	12652	HUNT	3e-04	0.0333	0.009009009009009	data/raw/gwas/microbiome_hunt/GCST90666993/GCST90666993.h.tsv.gz
GCST90671210	species	GCF_014333425.1	Zhenpiania hominis	Linear	abundance	primary	16017	Swedish	0.0435	0.0281	1.54804270462633	data/raw/gwas/microbiome_swedish/GCST90671210/GCST90671210.h.tsv.gz
