accession	family	feature_id	feature_name	model	phenotype_class	analysis_role	exposure_n	cohort	ldsc_h2	ldsc_h2_se	ldsc_h2_z	source_gwas_path
GCST90671836	module	MF0014	Arabinose degradation	Linear	module	primary	16017	Swedish	0.0138	0.0283	0.4876325088339223	data/raw/gwas/microbiome_swedish/GCST90671836/GCST90671836.h.tsv.gz
GCST90671848	module	MF0028	Aspartate degradation I	Linear	module	primary	16017	Swedish	0.0532	0.0266	2.0	data/raw/gwas/microbiome_swedish/GCST90671848/GCST90671848.h.tsv.gz
GCST90667537	module	M00747	Bacitracin transport system	continuous relative abundance	module	primary	12652	HUNT	0.1101	0.0538	2.046468401486989	data/raw/gwas/microbiome_hunt/GCST90667537/GCST90667537.h.tsv.gz
GCST90667189	module	M00168	CAM (Crassulacean acid metabolism), dark	continuous relative abundance	module	primary	12652	HUNT	0.0783	0.0464	1.6875	data/raw/gwas/microbiome_hunt/GCST90667189/GCST90667189.h.tsv.gz
GCST90671902	module	MF0090	Ethanol production I	Linear	module	primary	16017	Swedish	0.0049	0.0266	0.1842105263157894	data/raw/gwas/microbiome_swedish/GCST90671902/GCST90671902.h.tsv.gz
GCST90667428	module	M00518	GlnK-GlnL (glutamine utilization) two-component regulatory system	continuous relative abundance	module	primary	12652	HUNT	0.1192	0.0523	2.2791586998087956	data/raw/gwas/microbiome_hunt/GCST90667428/GCST90667428.h.tsv.gz
GCST90667245	module	M00233	Glutamate transport system	continuous relative abundance	module	primary	12652	HUNT	0.0929	0.0473	1.964059196617336	data/raw/gwas/microbiome_hunt/GCST90667245/GCST90667245.h.tsv.gz
GCST90671882	module	MF0067	Glycolysis (preparatory phase)	Linear	module	primary	16017	Swedish	0.0394	0.0274	1.437956204379562	data/raw/gwas/microbiome_swedish/GCST90671882/GCST90671882.h.tsv.gz
GCST90667521	module	M00719	Ihk-Irr (virulence regulation) two-component regulatory system	continuous relative abundance	module	primary	12652	HUNT	0.0364	0.0388	0.9381443298969072	data/raw/gwas/microbiome_hunt/GCST90667521/GCST90667521.h.tsv.gz
GCST90671829	module	MF0007	Lactose and galactose degradation	Linear	module	primary	16017	Swedish	0.077	0.0379	2.0316622691292876	data/raw/gwas/microbiome_swedish/GCST90671829/GCST90671829.h.tsv.gz
GCST90671830	module	MF0008	Maltose degradation	Linear	module	primary	16017	Swedish	0.0652	0.0254	2.5669291338582676	data/raw/gwas/microbiome_swedish/GCST90671830/GCST90671830.h.tsv.gz
GCST90667241	module	M00228	Putative glutamine transport system	continuous relative abundance	module	primary	12652	HUNT	0.04	0.032	1.25	data/raw/gwas/microbiome_hunt/GCST90667241/GCST90667241.h.tsv.gz
GCST90667255	module	M00244	Putative zinc/manganese transport system	continuous relative abundance	module	primary	12652	HUNT	0.0781	0.0445	1.755056179775281	data/raw/gwas/microbiome_hunt/GCST90667255/GCST90667255.h.tsv.gz
GCST90667379	module	M00443	SenX3-RegX3 (phosphate starvation response) two-component regulatory system	continuous relative abundance	module	primary	12652	HUNT	0.0915	0.046	1.9891304347826089	data/raw/gwas/microbiome_hunt/GCST90667379/GCST90667379.h.tsv.gz
GCST90671866	module	MF0048	Serine degradation	Linear	module	primary	16017	Swedish	0.0409	0.0282	1.450354609929078	data/raw/gwas/microbiome_swedish/GCST90671866/GCST90671866.h.tsv.gz
GCST90671832	module	MF0010	Sucrose degradation I	Linear	module	primary	16017	Swedish	0.0138	0.0284	0.4859154929577464	data/raw/gwas/microbiome_swedish/GCST90671832/GCST90671832.h.tsv.gz
GCST90671868	module	MF0050	Threonine degradation II	Linear	module	primary	16017	Swedish	0.0147	0.029	0.5068965517241378	data/raw/gwas/microbiome_swedish/GCST90671868/GCST90671868.h.tsv.gz
GCST90671860	module	MF0041	Valine degradation I	Linear	module	primary	16017	Swedish	0.0238	0.0323	0.7368421052631579	data/raw/gwas/microbiome_swedish/GCST90671860/GCST90671860.h.tsv.gz
GCST90671843	module	MF0021	Xylose degradation	Linear	module	primary	16017	Swedish	0.0549	0.0312	1.7596153846153846	data/raw/gwas/microbiome_swedish/GCST90671843/GCST90671843.h.tsv.gz
GCST90671139	species		Actinomyces graevenitzii hMGS.05799	Linear	abundance	primary	16017	Swedish	0.0175	0.0267	0.6554307116104869	data/raw/gwas/microbiome_swedish/GCST90671139/GCST90671139.h.tsv.gz
GCST90670534	species	GCA_000435395.1	Acutalibacter ornithocaccae	Linear	abundance	primary	16017	Swedish	0.0707	0.0313	2.2587859424920125	data/raw/gwas/microbiome_swedish/GCST90670534/GCST90670534.h.tsv.gz
GCST90670917	species	GCF_900048895.1	Acutalibacter timonensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670917/GCST90670917.h.tsv.gz
GCST90667011	species	hMGS.05851	Adlercreutzia hattorii	continuous relative abundance	abundance	primary	12652	HUNT	0.0183	0.0342	0.5350877192982456	data/raw/gwas/microbiome_hunt/GCST90667011/GCST90667011.h.tsv.gz
GCST90670376	species	GCF_001406815.1	Agathobacter faecis	Linear	abundance	primary	16017	Swedish	0.0396	0.0288	1.3750000000000002	data/raw/gwas/microbiome_swedish/GCST90670376/GCST90670376.h.tsv.gz
GCST90666743	species	hMGS.00526	Agathobacter sp000434275	continuous relative abundance	abundance	primary	12652	HUNT	0.0147	0.0356	0.4129213483146067	data/raw/gwas/microbiome_hunt/GCST90666743/GCST90666743.h.tsv.gz
GCST90670635	species	GCA_902363675.1	Agathobacter sp000434275	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670635/GCST90670635.h.tsv.gz
GCST90670426	species	GCA_003096535.1	Agathobaculum butyriciproducens	Linear	abundance	primary	16017	Swedish	0.065	0.0283	2.296819787985866	data/raw/gwas/microbiome_swedish/GCST90670426/GCST90670426.h.tsv.gz
GCST90666909	species	hMGS.02500	Agathobaculum sp900291975	continuous relative abundance	abundance	primary	12652	HUNT	0.0926	0.0383	2.4177545691906004	data/raw/gwas/microbiome_hunt/GCST90666909/GCST90666909.h.tsv.gz
GCST90666855	species	hMGS.01496	Alectryocaccomicrobium faecavium	continuous relative abundance	abundance	primary	12652	HUNT	0.0563	0.035	1.6085714285714283	data/raw/gwas/microbiome_hunt/GCST90666855/GCST90666855.h.tsv.gz
GCST90670572	species	GCA_025144665.1	Alistipes A ihumii	Linear	abundance	primary	16017	Swedish	0.0517	0.0327	1.581039755351682	data/raw/gwas/microbiome_swedish/GCST90670572/GCST90670572.h.tsv.gz
GCST90670417	species	GCA_025145285.1	Alistipes onderdonkii	Linear	abundance	primary	16017	Swedish	0.0104	0.0273	0.3809523809523809	data/raw/gwas/microbiome_swedish/GCST90670417/GCST90670417.h.tsv.gz
GCST90670394	species	GCF_000154465.1	Alistipes putredinis	Linear	abundance	primary	16017	Swedish	-0.0251	0.0252	-0.996031746031746	data/raw/gwas/microbiome_swedish/GCST90670394/GCST90670394.h.tsv.gz
GCST90670806	species	GCF_900103425.1	Allisonella histaminiformans	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670806/GCST90670806.h.tsv.gz
GCST90666638	species	hMGS.00158	Anaerobutyricum hallii	continuous relative abundance	abundance	primary	12652	HUNT	0.0719	0.0351	2.048433048433049	data/raw/gwas/microbiome_hunt/GCST90666638/GCST90666638.h.tsv.gz
GCST90666720	species	hMGS.00421	Anaerobutyricum soehngenii	continuous relative abundance	abundance	primary	12652	HUNT	0.0042	0.0321	0.1308411214953271	data/raw/gwas/microbiome_hunt/GCST90666720/GCST90666720.h.tsv.gz
GCST90666671	species	hMGS.00257	Anaerostipes hadrus A	continuous relative abundance	abundance	primary	12652	HUNT	-0.0074	0.0374	-0.1978609625668449	data/raw/gwas/microbiome_hunt/GCST90666671/GCST90666671.h.tsv.gz
GCST90667065	species	hMGS.07321	Angelakisella massiliensis	continuous relative abundance	abundance	primary	12652	HUNT	-0.0189	0.0344	-0.5494186046511628	data/raw/gwas/microbiome_hunt/GCST90667065/GCST90667065.h.tsv.gz
GCST90666910	species	hMGS.02524	Avimonas A narfia	continuous relative abundance	abundance	primary	12652	HUNT	0.0574	0.0374	1.53475935828877	data/raw/gwas/microbiome_hunt/GCST90666910/GCST90666910.h.tsv.gz
GCST90666742	species	hMGS.00511	Bacteroides clarus	continuous relative abundance	abundance	primary	12652	HUNT	-0.0127	0.0309	-0.4110032362459547	data/raw/gwas/microbiome_hunt/GCST90666742/GCST90666742.h.tsv.gz
GCST90666783	species	hMGS.00805	Bacteroides faecis	continuous relative abundance	abundance	primary	12652	HUNT	-0.0002	0.0375	-0.0053333333333333	data/raw/gwas/microbiome_hunt/GCST90666783/GCST90666783.h.tsv.gz
GCST90666790	species	hMGS.00839	Bacteroides nordii	continuous relative abundance	abundance	primary	12652	HUNT	-0.0341	0.0327	-1.0428134556574924	data/raw/gwas/microbiome_hunt/GCST90666790/GCST90666790.h.tsv.gz
GCST90670374	species	GCF_000010425.1	Bifidobacterium adolescentis	Linear	abundance	primary	16017	Swedish	0.0481	0.041	1.173170731707317	data/raw/gwas/microbiome_swedish/GCST90670374/GCST90670374.h.tsv.gz
GCST90666557	species	hMGS.00019	Bifidobacterium bifidum	continuous relative abundance	abundance	primary	12652	HUNT	0.0389	0.0387	1.005167958656331	data/raw/gwas/microbiome_hunt/GCST90666557/GCST90666557.h.tsv.gz
GCST90670385	species	GCF_001025135.1	Bifidobacterium bifidum	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670385/GCST90670385.h.tsv.gz
GCST90670466	species	GCF_001025195.1	Bifidobacterium catenulatum	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670466/GCST90670466.h.tsv.gz
GCST90670372	species	GCF_000196555.1	Bifidobacterium longum	Linear	abundance	primary	16017	Swedish	0.0469	0.0296	1.5844594594594592	data/raw/gwas/microbiome_swedish/GCST90670372/GCST90670372.h.tsv.gz
GCST90670392	species	GCF_001025215.1	Bifidobacterium pseudocatenulatum	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670392/GCST90670392.h.tsv.gz
GCST90667086	species	hMGS.07731	Bittarella massiliensis A	continuous relative abundance	abundance	primary	12652	HUNT	-0.0137	0.0327	-0.418960244648318	data/raw/gwas/microbiome_hunt/GCST90667086/GCST90667086.h.tsv.gz
GCST90666706	species	hMGS.00359	Blautia A caecimuris	continuous relative abundance	abundance	primary	12652	HUNT	0.0773	0.0638	1.2115987460815048	data/raw/gwas/microbiome_hunt/GCST90666706/GCST90666706.h.tsv.gz
GCST90666868	species	hMGS.01642	Blautia A luti	continuous relative abundance	abundance	primary	12652	HUNT	-0.0155	0.034	-0.4558823529411764	data/raw/gwas/microbiome_hunt/GCST90666868/GCST90666868.h.tsv.gz
GCST90670875	species	GCF_009707925.1	Blautia A luti	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670875/GCST90670875.h.tsv.gz
GCST90670437	species	GCF_001487165.1	Blautia A massiliensis	Linear	abundance	primary	16017	Swedish	0.0474	0.0281	1.686832740213523	data/raw/gwas/microbiome_swedish/GCST90670437/GCST90670437.h.tsv.gz
GCST90670473	species	GCA_025147765.1	Blautia A obeum	Linear	abundance	primary	16017	Swedish	0.0085	0.0248	0.342741935483871	data/raw/gwas/microbiome_swedish/GCST90670473/GCST90670473.h.tsv.gz
GCST90670852	species	GCF_013304385.1	Blautia A sp900066505	Linear	abundance	primary	16017	Swedish	-0.0431	0.0285	-1.5122807017543858	data/raw/gwas/microbiome_swedish/GCST90670852/GCST90670852.h.tsv.gz
GCST90666555	species	hMGS.00013	Blautia A wexlerae	continuous relative abundance	abundance	primary	12652	HUNT	0.0952	0.039	2.4410256410256412	data/raw/gwas/microbiome_hunt/GCST90666555/GCST90666555.h.tsv.gz
GCST90671181	species	GCF_013300825.1	Blautia A wexlerae B	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90671181/GCST90671181.h.tsv.gz
