accession	family	feature_id	feature_name	model	phenotype_class	analysis_role	exposure_n	cohort	ldsc_h2	ldsc_h2_se	ldsc_h2_z	source_gwas_path
GCST90671836	module	MF0014	Arabinose degradation	Linear	module	primary	16017	Swedish	0.0138	0.0283	0.487632508833922	data/raw/gwas/microbiome_swedish/GCST90671836/GCST90671836.h.tsv.gz
GCST90671902	module	MF0090	Ethanol production I	Linear	module	primary	16017	Swedish	0.0049	0.0266	0.184210526315789	data/raw/gwas/microbiome_swedish/GCST90671902/GCST90671902.h.tsv.gz
GCST90671882	module	MF0067	Glycolysis (preparatory phase)	Linear	module	primary	16017	Swedish	0.0394	0.0274	1.43795620437956	data/raw/gwas/microbiome_swedish/GCST90671882/GCST90671882.h.tsv.gz
GCST90667521	module	M00719	Ihk-Irr (virulence regulation) two-component regulatory system	continuous relative abundance	module	primary	12652	HUNT	0.0364	0.0388	0.938144329896907	data/raw/gwas/microbiome_hunt/GCST90667521/GCST90667521.h.tsv.gz
GCST90667241	module	M00228	Putative glutamine transport system	continuous relative abundance	module	primary	12652	HUNT	0.04	0.032	1.25	data/raw/gwas/microbiome_hunt/GCST90667241/GCST90667241.h.tsv.gz
GCST90671866	module	MF0048	Serine degradation	Linear	module	primary	16017	Swedish	0.0409	0.0282	1.45035460992908	data/raw/gwas/microbiome_swedish/GCST90671866/GCST90671866.h.tsv.gz
GCST90671832	module	MF0010	Sucrose degradation I	Linear	module	primary	16017	Swedish	0.0138	0.0284	0.485915492957746	data/raw/gwas/microbiome_swedish/GCST90671832/GCST90671832.h.tsv.gz
GCST90671868	module	MF0050	Threonine degradation II	Linear	module	primary	16017	Swedish	0.0147	0.029	0.506896551724138	data/raw/gwas/microbiome_swedish/GCST90671868/GCST90671868.h.tsv.gz
GCST90671860	module	MF0041	Valine degradation I	Linear	module	primary	16017	Swedish	0.0238	0.0323	0.736842105263158	data/raw/gwas/microbiome_swedish/GCST90671860/GCST90671860.h.tsv.gz
GCST90671139	species		Actinomyces graevenitzii hMGS.05799	Linear	abundance	primary	16017	Swedish	0.0175	0.0267	0.655430711610487	data/raw/gwas/microbiome_swedish/GCST90671139/GCST90671139.h.tsv.gz
GCST90670917	species	GCF_900048895.1	Acutalibacter timonensis	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670917/GCST90670917.h.tsv.gz
GCST90667011	species	hMGS.05851	Adlercreutzia hattorii	continuous relative abundance	abundance	primary	12652	HUNT	0.0183	0.0342	0.535087719298246	data/raw/gwas/microbiome_hunt/GCST90667011/GCST90667011.h.tsv.gz
GCST90670376	species	GCF_001406815.1	Agathobacter faecis	Linear	abundance	primary	16017	Swedish	0.0396	0.0288	1.375	data/raw/gwas/microbiome_swedish/GCST90670376/GCST90670376.h.tsv.gz
GCST90666743	species	hMGS.00526	Agathobacter sp000434275	continuous relative abundance	abundance	primary	12652	HUNT	0.0147	0.0356	0.412921348314607	data/raw/gwas/microbiome_hunt/GCST90666743/GCST90666743.h.tsv.gz
GCST90670635	species	GCA_902363675.1	Agathobacter sp000434275	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670635/GCST90670635.h.tsv.gz
GCST90666855	species	hMGS.01496	Alectryocaccomicrobium faecavium	continuous relative abundance	abundance	primary	12652	HUNT	0.0563	0.035	1.60857142857143	data/raw/gwas/microbiome_hunt/GCST90666855/GCST90666855.h.tsv.gz
GCST90670572	species	GCA_025144665.1	Alistipes A ihumii	Linear	abundance	primary	16017	Swedish	0.0517	0.0327	1.58103975535168	data/raw/gwas/microbiome_swedish/GCST90670572/GCST90670572.h.tsv.gz
GCST90670417	species	GCA_025145285.1	Alistipes onderdonkii	Linear	abundance	primary	16017	Swedish	0.0104	0.0273	0.380952380952381	data/raw/gwas/microbiome_swedish/GCST90670417/GCST90670417.h.tsv.gz
GCST90670394	species	GCF_000154465.1	Alistipes putredinis	Linear	abundance	primary	16017	Swedish	-0.0251	0.0252	-0.996031746031746	data/raw/gwas/microbiome_swedish/GCST90670394/GCST90670394.h.tsv.gz
GCST90670806	species	GCF_900103425.1	Allisonella histaminiformans	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670806/GCST90670806.h.tsv.gz
GCST90666720	species	hMGS.00421	Anaerobutyricum soehngenii	continuous relative abundance	abundance	primary	12652	HUNT	0.0042	0.0321	0.130841121495327	data/raw/gwas/microbiome_hunt/GCST90666720/GCST90666720.h.tsv.gz
GCST90666671	species	hMGS.00257	Anaerostipes hadrus A	continuous relative abundance	abundance	primary	12652	HUNT	-0.0074	0.0374	-0.197860962566845	data/raw/gwas/microbiome_hunt/GCST90666671/GCST90666671.h.tsv.gz
GCST90667065	species	hMGS.07321	Angelakisella massiliensis	continuous relative abundance	abundance	primary	12652	HUNT	-0.0189	0.0344	-0.549418604651163	data/raw/gwas/microbiome_hunt/GCST90667065/GCST90667065.h.tsv.gz
GCST90666910	species	hMGS.02524	Avimonas A narfia	continuous relative abundance	abundance	primary	12652	HUNT	0.0574	0.0374	1.53475935828877	data/raw/gwas/microbiome_hunt/GCST90666910/GCST90666910.h.tsv.gz
GCST90666742	species	hMGS.00511	Bacteroides clarus	continuous relative abundance	abundance	primary	12652	HUNT	-0.0127	0.0309	-0.411003236245955	data/raw/gwas/microbiome_hunt/GCST90666742/GCST90666742.h.tsv.gz
GCST90666783	species	hMGS.00805	Bacteroides faecis	continuous relative abundance	abundance	primary	12652	HUNT	-2e-04	0.0375	-0.0053333333333333	data/raw/gwas/microbiome_hunt/GCST90666783/GCST90666783.h.tsv.gz
GCST90666790	species	hMGS.00839	Bacteroides nordii	continuous relative abundance	abundance	primary	12652	HUNT	-0.0341	0.0327	-1.04281345565749	data/raw/gwas/microbiome_hunt/GCST90666790/GCST90666790.h.tsv.gz
GCST90670374	species	GCF_000010425.1	Bifidobacterium adolescentis	Linear	abundance	primary	16017	Swedish	0.0481	0.041	1.17317073170732	data/raw/gwas/microbiome_swedish/GCST90670374/GCST90670374.h.tsv.gz
GCST90666557	species	hMGS.00019	Bifidobacterium bifidum	continuous relative abundance	abundance	primary	12652	HUNT	0.0389	0.0387	1.00516795865633	data/raw/gwas/microbiome_hunt/GCST90666557/GCST90666557.h.tsv.gz
GCST90670385	species	GCF_001025135.1	Bifidobacterium bifidum	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670385/GCST90670385.h.tsv.gz
GCST90670466	species	GCF_001025195.1	Bifidobacterium catenulatum	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670466/GCST90670466.h.tsv.gz
GCST90670372	species	GCF_000196555.1	Bifidobacterium longum	Linear	abundance	primary	16017	Swedish	0.0469	0.0296	1.58445945945946	data/raw/gwas/microbiome_swedish/GCST90670372/GCST90670372.h.tsv.gz
GCST90670392	species	GCF_001025215.1	Bifidobacterium pseudocatenulatum	Logistic	presence_absence	primary	16017	Swedish				data/raw/gwas/microbiome_swedish_v2_presence/GCST90670392/GCST90670392.h.tsv.gz
